country,latitude,longitude,region,continent,ev_stock,ev_sales,battery_demand_mwh_est,total_battery_factories,total_battery_capacity_gwh,dc_fast_chargers,ac_chargers,avg_power_kw,net_lithium_import_t,net_cobalt_import_t,net_nickel_import_t,net_graphite_import_t,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,lithium_production_t,cobalt_production_t,nickel_production_t,graphite_production_t,domestic_mineral_capacity,mineral_self_sufficiency_pct,import_dependency_pct,supply_risk_score,geopolitical_risk_score,supplier_diversity_index,disruption_probability,risk_category,factory_utilization_pct,battery_export_gwh,battery_import_gwh,production_cost_usd_per_kwh,average_factory_age_years,annual_battery_output_gwh,charger_density_per_1000_ev,public_charging_ratio,charging_readiness_score,charger_growth_rate_pct,transport_mode,average_shipping_distance_km,logistics_cost_usd_per_ton,on_time_delivery_rate_pct,carbon_emission_tco2,route_efficiency_score,warehouse_capacity_t,inventory_turnover_ratio,stockout_probability,date,year,quarter,month,month_name,week,day,fiscal_year,ev_market_growth_pct,battery_demand_growth_pct,manufacturing_dependency_score,infrastructure_score,logistics_risk_score,inventory_risk_score,overall_supply_chain_score
United States,39.83,-98.58,North America,North America,5517085,829498,43084.31,41,327.21,50615,213699,113.6,95250.89,201757.25,122295.02,29415.39,19.85,1.47,25.3,317836.94,3.35,12604,70167,48948,198103,329822,58.4,43.67,55.6,61.1,0.37,0.17,High,61.2,309.85,293.65,110.62,20.8,648.06,67.91,82.6,74.3,7.33,Road,3051.1,208.15,93.85,188.64,46.78,41042.67,4.55,0.03,02-06-2024,2024,Q2,6,June,22,2,2024,34.73,36.35,85.93,40.91,15.58,58.25,48.32
United States,39.83,-98.58,North America,North America,5196303,592510,45184.29,41,329.18,50476,212285,113.8,387615.54,88485.06,284517.62,255654.05,28.81,1.11,24.6,60127.73,3.34,21992,21675,112753,7430,163850,35.41,63.9,47.1,25.3,0.47,0.07,Medium,90.5,155.83,295.83,97.04,22.8,402.36,55.92,73.29,62.6,16.57,Sea,1736.6,247.66,95.49,34.85,69.76,119105.35,13.85,0.1,17-12-2025,2025,Q4,12,December,51,17,2025,17.94,19.32,51.85,71.62,25.57,27.04,71.2
United States,39.83,-98.58,North America,North America,5033869,748935,64398.54,48,400.9,49896,225155,109.5,88818.79,180093.95,29298.7,185492.82,25.29,0.18,21.8,325998.07,2.83,4149,25256,104731,208360,342496,74.86,24.93,47.1,51.3,0.32,0.21,Medium,80.08,107.94,56.89,65.98,19.2,369.47,80.4,61.25,99.1,4.94,Road,1539.2,57.35,79.68,157.34,64.93,58900.52,3.01,0.14,04-10-2024,2024,Q4,10,October,40,4,2024,28.77,7.93,26.31,91.82,43.72,83.32,72.43
Norway,60.47,8.47,Northern Europe,Europe,934606,121622,5780.98,2,14.21,7049,26956,80.3,23399.47,11386.78,8181.93,16976.02,37.53,1.97,66.3,14820.66,4.72,55180,20691,108704,40990,225565,39.47,58.29,37.2,13.7,0.6,0.04,Medium,63.43,158.84,272.03,124.54,27.4,384.33,86.33,79.67,96.8,29.79,Road,404.6,102.88,79.34,18.63,82.03,17733.29,15.11,0.28,01-06-2024,2024,Q2,6,June,22,1,2024,39.59,13.4,46.66,93.28,85.17,65.3,75.38
India,20.59,78.96,Southern Asia,Asia,371029,145227,9657.86,8,46.21,9076,71281,57.3,33990.61,8625.68,7824.17,8380.46,19.1,3.78,48.7,67461.88,3.75,234651,32597,7466,206561,481275,73.09,28.27,28.7,33.2,0.76,0.07,Medium,74.68,341.35,58.13,67.26,25.7,570.7,36.84,82.38,55.3,16.77,Sea,3528.4,116.61,73.02,222.65,60.9,118495.41,8.95,0.44,26-03-2025,2025,Q1,3,March,13,26,2024,14.97,30.48,25.04,80.19,83.69,63.68,71.77
United Kingdom,55.38,-3.44,Northern Europe,Europe,1662053,233932,19460.8,11,108.2,17336,96602,75.6,49779.32,22822.69,89218.37,42270.16,27.15,6.32,85.1,114622.32,6.85,245903,37698,3636,191691,478928,33.56,67.03,69,89.9,0.53,0.4,High,95.64,98.9,147.78,62.87,5.9,594.98,39.14,81.38,51.5,3.54,Air,2660.6,242.95,87.25,212.92,92.57,118644.4,14.31,0.08,07-06-2025,2025,Q2,6,June,23,7,2025,43.82,10.96,20.37,94.18,88.78,86.84,78.35
Chile,-35.68,-71.54,South America,South America,94254,17012,1624.69,2,9.79,993,4048,56.9,-11671.48,-12591.51,-12501.94,-21455.06,44.34,1.4,53,4403.25,4.22,52035,72906,106296,63566,294803,10.67,87.22,54.3,27.7,0.53,0.06,High,76.6,170.34,4.08,69.2,12,594.99,64.18,58.96,78.6,30.37,Sea,863.1,53.04,84.88,96.93,93.38,65673.95,10.65,0.4,30-11-2025,2025,Q4,11,November,48,30,2025,38.52,12.1,60.41,93.39,39.19,40.64,77.27
Norway,60.47,8.47,Northern Europe,Europe,914189,125857,7741.48,1,17.96,8088,25378,77.1,15866.22,3063.26,17942.95,3108.93,37.21,2.36,40.5,21294.44,3.46,28997,13418,73829,121697,237941,12.59,87.75,77,76.5,0.35,0.22,Critical,56.18,63.35,113.34,134.98,7.8,431.5,64.82,38.7,83.3,3.98,Air,4632.3,144.87,85.29,343.45,55.42,89031.14,2.48,0.1,22-04-2025,2025,Q2,4,April,17,22,2025,34.21,15.16,90.85,70.38,61.56,51.34,51.25
Indonesia,-0.79,113.92,Southeast Asia,Asia,131843,35912,2700.4,3,69.43,1656,10743,73.8,-25821.59,-19152.54,-66622.44,-53614.05,23.62,1.34,49,4735.29,3.52,46683,694,90563,48013,185953,97.26,4.45,28.8,58.1,0.77,0.07,Medium,59.99,119.16,250.55,116.48,6.4,313.57,42.97,65.5,50.6,4,Rail,2200.5,47.92,81.43,154.06,76.36,94274.96,9.6,0.18,24-04-2024,2024,Q2,4,April,17,24,2024,6.6,27.38,76.58,85.56,84.25,21.18,73.28
Brazil,-14.24,-51.93,South America,South America,186827,42792,3005.67,2,18.22,2623,21118,61.2,21016.23,4764.73,12139.67,8497.65,25.26,1.93,88.2,3983.68,6.93,229251,8871,103929,208055,550106,15.91,81.18,53.5,46,0.7,0.09,High,59.73,342.87,77.62,61.12,9.9,579.26,32.25,38.61,37.3,30.84,Road,2209.4,257.14,91.23,250.61,94.79,104838.57,7.74,0.12,27-07-2025,2025,Q3,7,July,30,27,2025,29.79,14.13,62.56,62.79,82.4,31.48,65.95
